id,product_name,price,category,availability,description,img_primary,img_secondary,url
p104,Unawatuna -Bath & Shower Gel 250ml,21,mind & body care  bath & shower,no,A mild cleansing formula infused with precious herbs & pure essential oils.,Unawatuna -Bath & Shower Gel 250ml_primary.jpg,Unawatuna -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/unawatuna-bath-shower-gel-250ml/
p105,Island Rose -Bath & Shower Gel 250ml,21,mind & body care  bath & shower,yes,A mild cleansing formula infused with precious herbs & pure essential oils.,Island Rose -Bath & Shower Gel 250ml_primary.jpg,Island Rose -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/island-rose-bath-shower-gel-250ml/
p106,Mirissa -Bath & Shower Gel 250ml,21,mind & body care  bath & shower,yes,A mild cleansing formula infused with precious herbs & pure essential oils.,Mirissa -Bath & Shower Gel 250ml_primary.jpg,Mirissa -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/mirissa-bath-shower-gel-250ml/
p107,SUN â€“ Moisture Care Body Spray â€“ UVA + UVB Medium Protection 60ml (SPF25+),0,mind & body care  sun care,yes,Description not available,,,https://store.spaceylon.com/product/sun-moisture-care-body-spray-uva-uvb-medium-protection-60ml-spf25/
p108,Mirissa â€“ Nourishing Hand & Body Lotion â€“ 160ml,21,mind & body care  body lotions,yes,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",Mirissa â€“ Nourishing Hand & Body Lotion â€“ 160ml_primary.jpg,Mirissa â€“ Nourishing Hand & Body Lotion â€“ 160ml_secondary.jpg,https://store.spaceylon.com/product/mirissa-nourishing-hand-body-lotion-160ml/
p109,Royal Lotus â€“ Nourishing Hand & Body Lotion â€“ 160ml,21,mind & body care  body lotions,no,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",Royal Lotus â€“ Nourishing Hand & Body Lotion â€“ 160ml_primary.jpg,Royal Lotus â€“ Nourishing Hand & Body Lotion â€“ 160ml_secondary.jpg,https://store.spaceylon.com/product/royal-lotus-nourishing-hand-body-lotion-160ml/
p110,Island Rose â€“ Nourishing Hand & Body Lotion â€“ 160ml,21,mind & body care  body lotions,no,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",Island Rose â€“ Nourishing Hand & Body Lotion â€“ 160ml_primary.jpg,Island Rose â€“ Nourishing Hand & Body Lotion â€“ 160ml_secondary.jpg,https://store.spaceylon.com/product/island-rose-nourishing-hand-body-lotion-160ml/
p111,Unawatuna â€“ Nourishing Hand &am Body Lotion â€“ 160ml,21,mind & body care  body lotions,yes,"A rich, naturally hydrating blend of WonderHerbs, plant oils & fruit butters to deeply nourish, care & protect. Infused with aromatic essences & floral essential oils for lasting fragrant softness.",Unawatuna â€“ Nourishing Hand &am Body Lotion â€“ 160ml_primary.jpg,Unawatuna â€“ Nourishing Hand &am Body Lotion â€“ 160ml_secondary.jpg,https://store.spaceylon.com/product/unawatuna-nourishing-hand-body-lotion-160ml/
p112,Baby Soap 100g,5,mind & body care  baby care,no,"A creamy natural cleanser enriched with Virgin Coconut, Rice Bran, Almond & Moringa to moisturise, nourish & soften delicate skin. Pure Mango Butter & Kokum Butters help hydrate, protect & fortify natural balance, while fresh Aloe Vera & Calendula help cool & comfort.",Baby Soap 100g_primary.jpg,Baby Soap 100g_secondary.jpg,https://store.spaceylon.com/product/baby-soap-100g/
p113,Baby Eau De Ceylon 100ml,19,mind & body care  baby care,no,"A soft, breezy cologne evoking the soothing freshness of Ceylonese Citrus fruits, floral blossoms & rainforest herbs. The delicate island water is infused with an allergen-free aromatic blend, combining Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Baby Eau De Ceylon 100ml_primary.jpg,Baby Eau De Ceylon 100ml_secondary.jpg,https://store.spaceylon.com/product/baby-eau-de-ceylon-100ml/
