section,name,price,category,description,availability,img_primary,img_secondary,product_url
hair,Sandalwood – Wonder Oil 100ml,$29.00 ,BODY OILS,"The power of 8 Ayurveda WonderHerbs in an ultra-nourishing blend. Instantly adds a soft silky-smooth touch to skin & hair, without a greasy after-feel. Moringa & Sandalwood help soothe skin & shield against pollution. Sweet Almond & Virgin Coconut help protect skin & hair from dryness.",Out of stock,Sandalwood – Wonder Oil 100ml_primary.jpg,Sandalwood – Wonder Oil 100ml_secondary.jpg,https://store.spaceylon.com/product/sandalwood-wonder-oil-100ml/
hair,Night Jasmine – Wonder Oil 100ml,$29.00 ,BODY OILS,"The power of 8 Ayurveda WonderHerbs in an ultra-nourishing blend. Instantly adds a soft silky-smooth touch to skin & hair, without a greasy after-feel. Moringa & Jasmine help soothe skin & shield against pollution. Sweet Almond & Virgin Coconut help protect skin & hair from dryness.",Out of stock,Night Jasmine – Wonder Oil 100ml_primary.jpg,Night Jasmine – Wonder Oil 100ml_secondary.jpg,https://store.spaceylon.com/product/night-jasmine-wonder-oil-100ml/
hair,Wild Mangosteen – Natural Butter 25g,$14.00 ,BRIDAL SHOWER,A 100% natural multi-usage ultra nourishing butter,In Stock,Wild Mangosteen – Natural Butter 25g_primary.jpg,Wild Mangosteen – Natural Butter 25g_secondary.jpg,https://store.spaceylon.com/product/wild-mangosteen-natural-butter-25g/
hair,Ceylon Mango – Natural Butter 25g,$14.00 ,BRIDAL SHOWER,A 100% natural multi-usage ultra nourishing butter,Out of stock,Ceylon Mango – Natural Butter 25g_primary.jpg,Ceylon Mango – Natural Butter 25g_secondary.jpg,https://store.spaceylon.com/product/ceylon-mango-natural-butter-25g/
hair,Lemongrass Mandarin – Virgin Coconut Natural Butter,$12.00 ,BRIDAL SHOWER,A 100% natural multi-usage ultra nourishing butter,In Stock,Lemongrass Mandarin – Virgin Coconut Natural Butter_primary.jpg,Lemongrass Mandarin – Virgin Coconut Natural Butter_secondary.jpg,https://store.spaceylon.com/product/lemongrass-mandarin-virgin-coconut-natural-butter/
home,Pink Grapefruit – Virgin Coconut Natural Butter,$12.00 ,BRIDAL SHOWER,A 100% natural multi-usage ultra nourishing butter,Out of stock,Pink Grapefruit – Virgin Coconut Natural Butter_primary.jpg,Pink Grapefruit – Virgin Coconut Natural Butter_secondary.jpg,https://store.spaceylon.com/product/pink-grapefruit-virgin-coconut-natural-butter/
home,Ylang Lavender – Virgin Coconut Natural Butter,$12.00 ,BRIDAL SHOWER,A 100% natural multi-usage ultra nourishing butter,In Stock,Ylang Lavender – Virgin Coconut Natural Butter_primary.jpg,Ylang Lavender – Virgin Coconut Natural Butter_secondary.jpg,https://store.spaceylon.com/product/ylang-lavender-virgin-coconut-natural-butter/
home,Neroli Jasmine – Virgin Coconut Natural Butter,$12.00 ,BRIDAL SHOWER,A 100% natural multi-usage ultra nourishing butter,Out of stock,Neroli Jasmine – Virgin Coconut Natural Butter_primary.jpg,Neroli Jasmine – Virgin Coconut Natural Butter_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-virgin-coconut-natural-butter/
home,Virgin Coconut – Hair & Body Natural Butter 100g,$18.00 ,BUTTER,A 100% natural multi-usage ultra-nourishing butter of pure Virgin Coconut Oil naturally extracted at source from the finest fresh coconuts hand-picked from the lush tropical gardens of Ceylon.,Out of stock,Virgin Coconut – Hair & Body Natural Butter 100g_primary.jpg,Virgin Coconut – Hair & Body Natural Butter 100g_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-hair-body-natural-butter-100g/
home,Sandalwood Vetiver – Hair Nourishing Balm 200g,$19.00 ,DAMAGED & CHEMICALLY TREATED,"A deep penetrating, balancing treatment with vitamin-rich regenerative Ayurveda herbs.",Out of stock,Sandalwood Vetiver – Hair Nourishing Balm 200g_primary.jpg,Sandalwood Vetiver – Hair Nourishing Balm 200g_secondary.jpg,https://store.spaceylon.com/product/sandalwood-vetiver-hair-nourishing-balm-200g/
home,Sandalwood Vetiver – Hair Oil Mist 100ml,$17.00 ,DANDRUFF & OILY SCALP,"A fast absorbent natural shine formula, with refreshing aromatic herbs.",Out of stock,Sandalwood Vetiver – Hair Oil Mist 100ml_primary.jpg,,https://store.spaceylon.com/product/sandalwood-vetiver-hair-oil-mist-100ml/
home,Aloe Vera Water Grass – Hair Oil Mist 100ml,$17.00 ,MIST,"A fast-absorbent natural shine formula, with refreshing & fortifying Ayurveda herbs & essential oils.",Out of stock,Aloe Vera Water Grass – Hair Oil Mist 100ml_primary.jpg,,https://store.spaceylon.com/product/aloe-vera-water-grass-hair-oil-mist-100ml/
